DBID,Name/Model,Era,Year,Technology Base,Chassis,Rules Level (Current),Tonnage,Designer,Battle Value,Cost,Rating
3003,"Tempest TMP-3M2 ""Storm Tempest""",Civil War,3067,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1642,12081163,-----
3002,Tempest TMP-3MA,Clan Invasion,3056,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1425,11658350,-----
1253,Templar IIC,Clan Invasion,3060,Clan,Biped,Tournament Legal,90,plug,2862,23805100,3.5
4247,Templar III TLR2 [BASE],Republic,3100,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,1162,25149594,-----
5979,"Templar III TLR2-J ""Arthur""",Dark Age,3146,Inner Sphere (Mixed),Biped,Advanced,85,Catalyst Game Labs,2722,23040363,-----
4248,Templar III TLR2-O,Republic,3100,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,2028,27269000,-----
4249,Templar III TLR2-OA,Republic,3100,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,1677,26741750,-----
4250,Templar III TLR2-OB,Republic,3100,Inner Sphere,Biped,Advanced,85,Catalyst Game Labs,1919,35188966,-----
4251,Templar III TLR2-OC,Republic,3120,Inner Sphere,Biped,Advanced,85,Catalyst Game Labs,1968,27037172,-----
4252,Templar III TLR2-OD,Republic,3100,Inner Sphere (Mixed),Biped,Advanced,85,Catalyst Game Labs,2041,27693344,-----
2689,Templar TLR1 [BASE],Civil War,3062,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,1052,23130010,-----
2690,Templar TLR1-O,Civil War,3062,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,2045,25121073,3.785714
2694,Templar TLR1-O (Grayson),Civil War,3062,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,1868,25347698,3
2695,Templar TLR1-O (Tancred),Civil War,3062,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,2273,25581260,3.944444
2691,Templar TLR1-OA,Civil War,3062,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,2070,26062260,3
2692,Templar TLR1-OB,Civil War,3062,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,1806,25463323,3.5
6152,Templar TLR1-OBLO,Dark Age,3140,Inner Sphere,Biped,Tournament Legal (Extinct),85,Catalyst Game Labs,2062,27109823,-----
2693,Templar TLR1-OC,Civil War,3062,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,2063,26732885,-----
4312,Templar TLR1-OD,Civil War,3063,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,1840,25673760,-----
4313,Templar TLR1-OE,Civil War,3064,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,1865,29344276,-----
4314,Templar TLR1-OF,Jihad,3068,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,2029,29056948,-----
4315,Templar TLR1-OG,Jihad,3069,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,1632,26078448,-----
4316,Templar TLR1-OH,Jihad,3080,Inner Sphere,Biped,Advanced,85,Catalyst Game Labs,1958,26730573,-----
4317,Templar TLR1-OI,Jihad,3080,Inner Sphere,Biped,Tournament Legal,85,Catalyst Game Labs,2202,25585885,-----
5119,Templar TLR1-OR,Dark Age,3134,Inner Sphere (Mixed),Biped,Advanced,85,Catalyst Game Labs,2393,27031198,-----
4829,Templar TLR1-OU,Jihad,3078,Inner Sphere,Biped,Advanced,85,Catalyst Game Labs,1747,26953151,-----
2206,Templar TLR1-OX,Civil War,3067,Inner Sphere,Biped,Tournament Legal,85,bladewind,2555,23088308,4
2061,Temujin TMJ 1A1,Jihad,3068,Inner Sphere,Biped,Advanced,85,Looter,2018,10115338,2.166667
3541,Tenshi TN-10- [BASE],Republic,3101,Inner Sphere,Biped,Advanced,95,Catalyst Game Labs,1227,20683406,-----
3542,Tenshi TN-10-O,Republic,3101,Inner Sphere,Biped,Advanced,95,Catalyst Game Labs,2542,30989156,-----
4158,Tenshi TN-10-OA,Republic,3101,Inner Sphere,Biped,Advanced,95,Catalyst Game Labs,1829,25680281,-----
4519,Tenshi TN-10-OB,Republic,3101,Inner Sphere,Biped,Advanced,95,Catalyst Game Labs,3002,26560219,-----
3543,Tenshi TN-10-OR,Republic,3101,Inner Sphere (Mixed),Biped,Advanced,95,Catalyst Game Labs,2183,24110531,-----
1487,Terminator T-3A,Clan Invasion,3060,Clan,Biped,Tournament Legal,100,drfunk,2855,29071333,3.333333
962,Tessen TSN-1C,Clan Invasion,3061,Inner Sphere,Biped,Tournament Legal (Extinct),50,Catalyst Game Labs,1162,10779000,3
4731,Tessen TSN-1Cr,Jihad,3069,Inner Sphere,Biped,Tournament Legal,50,Catalyst Game Labs,1241,10325250,-----
963,Tessen TSN-C3,Civil War,3062,Inner Sphere,Biped,Tournament Legal,50,Catalyst Game Labs,1234,10044000,3.25
4279,Tessen TSN-C3M,Jihad,3077,Inner Sphere,Biped,Tournament Legal,50,Catalyst Game Labs,1547,13119000,-----
4360,Tessen TSN-X-4,Jihad,3074,Inner Sphere,Biped,Advanced,50,Catalyst Game Labs,1263,11617500,-----
5612,Tessen TSN-X-4C,Jihad,3084,Inner Sphere,Biped,Tournament Legal,50,Kylo Kruis,1596,11283000,-----
5625,Tessen TSN-X-4C-II,Jihad,3084,Inner Sphere,Biped,Tournament Legal,50,Kylo Kruis,1712,11394000,-----
4738,Tessen TSN-X-4R (Rapunzel),Dark Age,3137,Inner Sphere (Mixed),Biped,Experimental (Extinct),50,Catalyst Game Labs,1474,11346000,-----
4930,Test Quadvee,Dark Age,3144,Clan,QuadVee,Advanced,50,Stinger07,1593,13267500,-----
1051,Thanatos TNS-4S,Clan Invasion,3061,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1844,19321750,4.1
3653,Thanatos TNS-4S (Felix),Civil War,3063,Inner Sphere,Biped,Tournament Legal,75,Mordel,2122,19068000,-----
4306,Thanatos TNS-4T,Civil War,3062,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1760,16621938,-----
4307,Thanatos TNS-6S,Jihad,3081,Inner Sphere,Biped,Tournament Legal,75,Catalyst Game Labs,1936,15344000,-----
1660,The Boneshaman special,Civil War,3067,Inner Sphere,Biped,Tournament Legal,100,Boneshaman,1987,21898000,1.75
5036,The Ogre (ARC-2R/WHM-6L FrankenMech) Custom Rebuild,Late Succession Wars,3025,Inner Sphere,Biped,Introductory,70,Hotwire,1389,6232228,-----
5370,The StarQuake (True Name Unknown) [Model Unknown],Republic,3129,Inner Sphere,Biped,Advanced,200,Alisa Wolfstein,3659,44969000,-----
2501,Thor (Summoner) A,Early Succession Wars,2872,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2145,20478271,2.75
5048,Thor (Summoner) AA,Republic,3086,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2216,20956396,-----
2502,Thor (Summoner) B,Early Succession Wars,2872,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2159,21155083,3.071429
2503,Thor (Summoner) C,Early Succession Wars,2872,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2379,20916552,4.25
2504,Thor (Summoner) D,Early Succession Wars,2872,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2643,20955333,4.214286
2663,Thor (Summoner) E,Clan Invasion,3054,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2612,20832083,3
3868,Thor (Summoner) F,Clan Invasion,3054,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2186,20970208,-----
3164,Thor (Summoner) G,Jihad,3068,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2452,21219896,-----
2605,Thor (Summoner) H,Clan Invasion,3059,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2536,20972333,2.833333
3165,Thor (Summoner) HH,Jihad,3070,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2490,21395208,-----
5637,Thor (Summoner) HOD-A1,Early Succession Wars,2872,Clan,Biped,Tournament Legal,70,Waaagh!,2554,20346521,-----
2505,Thor (Summoner) M,Clan Invasion,3051,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2251,21057865,4.25
2500,Thor (Summoner) PRIME,Early Succession Wars,2872,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2298,21150833,4.166667
3869,Thor (Summoner) Q,Jihad,3069,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2479,21341021,-----
4853,Thor (Summoner) U,Jihad,3078,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,3092,20921333,-----
4302,Thor (Summoner) Z,Jihad,3072,Clan,Biped,Experimental (Extinct),70,Catalyst Game Labs,2783,24143896,-----
2482,Thor (Summoner) [BASE],Early Succession Wars,2872,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,917,19078958,-----
4611,Thor II A,Republic,3093,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2473,21414333,-----
4612,Thor II B,Republic,3093,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2354,20622771,-----
4613,Thor II C,Republic,3093,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2351,20733271,-----
4614,Thor II D,Republic,3093,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2878,21106208,-----
4632,Thor II E,Republic,3093,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2638,24619365,-----
4610,Thor II PRIME,Republic,3093,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2554,21499333,-----
4609,Thor II [BASE],Republic,3093,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,922,18534958,-----
1920,Thor OSIS,Civil War,3067,Clan,Biped,Tournament Legal,70,Kalo Osis,2588,17273417,2
2734,Thor X,Clan Invasion,3050,Clan,Biped,Tournament Legal,70,ChronicRune,2838,21070083,-----
227,Thorn THE-N,Age of War,2549,Inner Sphere,Biped,Tournament Legal,20,Catalyst Game Labs,546,1617120,2.45
478,Thorn THE-N1,Clan Invasion,3051,Inner Sphere,Biped,Tournament Legal,20,Catalyst Game Labs,656,2446620,2.785714
3873,Thorn THE-N2,Jihad,3071,Inner Sphere,Biped,Tournament Legal,20,Catalyst Game Labs,410,2272620,-----
2915,Thorn THE-Nb,Star League,2743,Inner Sphere,Biped,Tournament Legal,20,Catalyst Game Labs,740,2518620,-----
133,Thorn THE-S,Late Succession Wars,3035,Inner Sphere,Biped,Introductory,20,Catalyst Game Labs,510,1522320,2.794118
4096,Thorn THE-T,Late Succession Wars,3038,Inner Sphere,Biped,Introductory,20,Catalyst Game Labs,500,1558320,-----
629,Thresher,Early Succession Wars,2849,Clan,Biped,Tournament Legal,60,Catalyst Game Labs,2314,13198400,3.833333
3617,Thresher (Edward),Clan Invasion,3058,Clan (Mixed),Biped,Tournament Legal,60,Catalyst Game Labs,2104,13116800,-----
3688,Thresher 2,Early Succession Wars,2858,Clan,Biped,Tournament Legal,60,Catalyst Game Labs,2337,13534400,-----
5721,Throne TRE-1,Jihad,3085,Clan (Mixed),Biped,Advanced,100,Sarpeadon,2488,32253333,-----
6499,Thug (BRAVO 332) THG-10E RAQUEL,Republic,3130,Clan,Biped,Tournament Legal,80,khanwolverine,2286,9753240,-----
6331,Thug (Imperial) TH-11EC,Clan Invasion,3061,Clan,Biped,Tournament Legal,80,khanwolverine,2873,19228440,-----
5212,Thug (THG-10E),Early Succession Wars,2835,Inner Sphere,Biped,Introductory,80,Horhiro,1501,7712040,-----
1886,Thug IIC,Clan Invasion,3050,Clan,Biped,Tournament Legal,80,Stinger,2899,19653240,2.5
6092,Thug llM,Civil War,3067,Clan (Mixed),Biped,Advanced,90,Smooth Hexagon,3182,28202460,-----
44,Thug THG-10E,Early Succession Wars,2835,Inner Sphere,Biped,Introductory,80,Catalyst Game Labs,1501,7712040,4.208333
423,Thug THG-11E,Star League,2572,Inner Sphere,Biped,Tournament Legal,80,Catalyst Game Labs,1640,8316840,4.625
3901,Thug THG-11E (Reich),Clan Invasion,3061,Inner Sphere (Mixed),Biped,Tournament Legal,80,Catalyst Game Labs,2612,9260040,-----
4380,Thug THG-11Eb,Star League,2760,Inner Sphere,Biped,Tournament Legal,80,Catalyst Game Labs,1759,8676840,-----
4449,Thug THG-11ECX (Jose),Star League,2772,Inner Sphere,Biped,Advanced,80,Catalyst Game Labs,1668,18888600,-----
1062,Thug THG-12E,Civil War,3067,Inner Sphere,Biped,Tournament Legal (Extinct),80,Catalyst Game Labs,1751,9926040,3.5
3902,Thug THG-12K,Civil War,3067,Inner Sphere,Biped,Tournament Legal,80,Catalyst Game Labs,1824,9386040,-----
1578,Thug THG-12S,Civil War,3067,Inner Sphere,Biped,Tournament Legal,80,StarRaven,1976,15401250,4.5
3903,Thug THG-13K,Jihad,3068,Inner Sphere,Biped,Tournament Legal (Extinct),80,Catalyst Game Labs,2086,19218720,-----
5063,Thumpback TPB-1-MB1C,Jihad,3070,Inner Sphere,Biped,Advanced,75,Maingunnery,1284,10367875,-----
3341,Thunder Fox TFT-A9,Jihad,3077,Inner Sphere,Quad,Tournament Legal,55,Catalyst Game Labs,1325,4953671,-----
4540,Thunder Fox TFT-C3,Jihad,3085,Inner Sphere,Quad,Advanced,55,Catalyst Game Labs,1104,10239300,-----
4959,Thunder Fox TFT-F11,Republic,3119,Inner Sphere (Mixed),Quad,Advanced,55,Catalyst Game Labs,2426,37518008,-----
4541,Thunder Fox TFT-L8,Jihad,3082,Inner Sphere,Quad,Tournament Legal,55,Catalyst Game Labs,1513,10768367,-----
1744,Thunder Hawk IIC,Clan Invasion,3050,Clan,Biped,Tournament Legal,100,spectre,3370,23318500,1.666667
722,Thunder Hawk TDK-7KMA,Clan Invasion,3059,Inner Sphere,Biped,Advanced,100,Catalyst Game Labs,2449,22342000,3.8
3733,Thunder Hawk TDK-7S,Civil War,3065,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2440,17742000,-----
723,Thunder Hawk TDK-7X,Star League,2771,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2577,21922000,4.125
724,Thunder Hawk TDK-7Y,Clan Invasion,3058,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2489,21842000,4.333333
861,Thunder Stallion,Early Succession Wars,2850,Clan,Quad,Tournament Legal,85,Catalyst Game Labs,2306,8874450,3.7
862,"Thunder Stallion 2 ""Fire Stallion""",Early Succession Wars,2877,Clan,Quad,Tournament Legal,85,Catalyst Game Labs,2575,8249150,4.5
4232,Thunder Stallion 3,Jihad,3069,Clan,Quad,Tournament Legal,85,Catalyst Game Labs,2631,9174150,-----
1730,Thunder Stroke TS-A4,Civil War,3062,Inner Sphere,Biped,Tournament Legal,40,bladewind,1394,6408150,2.75
659,Thunder THR-1L,Clan Invasion,3055,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1471,15511537,3.5
3011,Thunder THR-2L,Civil War,3063,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1951,19041162,-----
3012,Thunder THR-3L,Civil War,3066,Inner Sphere,Biped,Advanced,70,Catalyst Game Labs,1904,18809537,-----
3421,Thunder THR-C4,Jihad,3083,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,2028,15771183,-----
6504,Thunderbolt (BRAVO 332) TDR-5SC2 Jeffrey Juarez,Civil War,3067,Clan,Biped,Tournament Legal,65,khanwolverine,2299,12558673,-----
6336,Thunderbolt (Imperial) TDR-5SC,Civil War,3067,Clan,Biped,Tournament Legal,65,khanwolverine,2372,12878773,-----
6565,Thunderbolt (Liao Pirate) TDR-5L2,Early Succession Wars,2823,Inner Sphere,Biped,Tournament Legal,65,khanwolverine,1668,6252868,-----
4665,Thunderbolt C,Clan Invasion,3050,Inner Sphere (Mixed),Biped,Tournament Legal,65,Catalyst Game Labs,1593,5371685,-----
5489,Thunderbolt hellfire MDK-5XAM,Late Succession Wars,3049,Inner Sphere,Biped,Introductory,65,GhostDragon37,1362,5517710,-----
6439,Thunderbolt II (Black Watch) TDR-2Rb,Star League,2760,Inner Sphere,Biped,Tournament Legal,65,WC65nelson,1337,11550110,-----
3430,Thunderbolt IIC,Jihad,3085,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2475,17381707,-----
1621,Thunderbolt IIC,Clan Invasion,3050,Clan,Biped,Tournament Legal,65,mud,2140,6775010,4
5488,Thunderbolt MDK-5XAM,Late Succession Wars,3049,Inner Sphere,Biped,Introductory,65,GhostDragon37,1362,5517710,-----
3394,Thunderbolt TDR-10M,Jihad,3082,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1727,10296660,-----
3564,Thunderbolt TDR-10M (Ilyena),Jihad,3085,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1616,12504360,-----
3618,Thunderbolt TDR-10M (Salazar),Jihad,3085,Inner Sphere,Biped,Advanced,65,Catalyst Game Labs,1763,13562285,-----
5015,Thunderbolt TDR-10S,Republic,3086,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1766,10462650,-----
1018,Thunderbolt TDR-10SE,Civil War,3067,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,2008,7872260,4.375
5735,Thunderbolt TDR-11M,Civil War,3067,Inner Sphere,Biped,Tournament Legal,65,Alisa Wolfstein,1534,9969135,-----
3983,Thunderbolt TDR-11SE,Jihad,3069,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1754,11961510,-----
3949,Thunderbolt TDR-17S,Jihad,3070,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1803,13349710,-----
4050,Thunderbolt TDR-1C,Age of War,2491,Primitive,Biped,Advanced (Extinct),65,Catalyst Game Labs,1237,4908310,-----
5487,Thunderbolt TDR-5A,Late Succession Wars,3020,Inner Sphere,Biped,Introductory,65,GhostDragon37,1315,5295785,-----
2239,Thunderbolt TDR-5A,Late Succession Wars,3020,Inner Sphere,Biped,Introductory,65,Sleeping Dragon,1315,5295785,4.5
1436,Thunderbolt TDR-5D,Late Succession Wars,3025,Inner Sphere,Biped,Introductory,65,#NAME?,1352,5276810,3.5
5205,Thunderbolt TDR-5L,Early Succession Wars,2823,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1546,5823868,-----
5206,Thunderbolt TDR-5LS,Early Succession Wars,2850,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1374,5455918,-----
105,Thunderbolt TDR-5S,Age of War,2505,Inner Sphere,Biped,Introductory,65,Catalyst Game Labs,1335,5268560,4.5
4763,Thunderbolt TDR-5S mod II,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,65,Rudel Gurken,1417,5341160,-----
4967,"Thunderbolt TDR-5S-3SWC ""Stinger""",Age of War,2505,Inner Sphere,Biped,Introductory,65,Stinger07,1335,5268560,-----
3986,Thunderbolt TDR-5S-T (Tallman),Late Succession Wars,3025,Inner Sphere,Biped,Introductory,65,Catalyst Game Labs,1447,5303210,-----
2942,Thunderbolt TDR-5Sb,Star League,2753,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1613,6141410,-----
106,Thunderbolt TDR-5SE,Late Succession Wars,2910,Inner Sphere,Biped,Introductory,65,Catalyst Game Labs,1414,5461610,3.1875
107,Thunderbolt TDR-5SS,Late Succession Wars,2930,Inner Sphere,Biped,Introductory,65,Catalyst Game Labs,1337,5275985,4.125
3915,Thunderbolt TDR-60-RLA,Jihad,3072,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1975,16467385,-----
1404,Thunderbolt TDR-6X,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,65,Seraph,1577,14047385,3.833333
375,Thunderbolt TDR-7M,Late Succession Wars,3049,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1495,5903810,4.777778
1015,Thunderbolt TDR-7SE,Civil War,3067,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1809,6524210,4.2
5322,Thunderbolt TDR-9LX,Republic,3088,Inner Sphere (Mixed),Biped,Advanced,65,Kylo Kruis,2379,13287560,-----
1016,Thunderbolt TDR-9M,Civil War,3067,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1648,6350960,3.833333
5704,Thunderbolt TDR-9Ma,Jihad,3070,Inner Sphere,Biped,Tournament Legal,65,Alisa Wolfstein,1566,10039260,-----
1017,Thunderbolt TDR-9NAIS,Civil War,3067,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1864,14265460,3
4663,Thunderbolt TDR-9Nr,Jihad,3072,Inner Sphere,Biped,Advanced,65,Catalyst Game Labs,1635,16006210,-----
376,Thunderbolt TDR-9S,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1494,5911730,3.5
377,Thunderbolt TDR-9SE,Late Succession Wars,3049,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1439,5801510,3.5625
4664,Thunderbolt TDR-9T,Jihad,3083,Inner Sphere,Biped,Tournament Legal,65,Catalyst Game Labs,1589,15743310,-----
1492,Thunderhawk THN-78G,Civil War,3062,Inner Sphere,Biped,Tournament Legal,100,drfunk,2679,31195333,1.333333
2269,Thunderstrike,Clan Invasion,3050,Clan,Biped,Tournament Legal,45,master arminas,2522,9445590,4
1458,ThunderStrike TSTK-1P,Late Succession Wars,3025,Inner Sphere,Biped,Introductory,50,Davor Kirian,1175,3692500,3.8
1813,Thunderstroke TS- A7-PM,Civil War,3064,Inner Sphere,Biped,Tournament Legal,40,bladewind,1455,7006883,3.25
1814,Thunderstroke TS-A7,Civil War,3064,Inner Sphere,Biped,Tournament Legal,40,bladewind,1529,8249733,3.5
1815,Thunderstroke(Poor Mans) TS- A7-PM,Civil War,3064,Inner Sphere,Biped,Tournament Legal,40,bladewind,1455,7006883,3
5495,Thunderstruck (boom stick) XAM-001A,Late Succession Wars,3025,Inner Sphere,Biped,Tournament Legal,100,GhostDragon37,2305,33965333,-----
6103,Ti Ts'ang TSG-10J,Clan Invasion,3060,Inner Sphere,Biped,Tournament Legal,60,correia3,1909,15299680,-----
4966,Ti Ts'ang TSG-10L,Republic,3125,Inner Sphere,Biped,Advanced,60,Catalyst Game Labs,1730,57958080,-----
4187,Ti Ts'ang TSG-9C,Jihad,3069,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,1989,15248480,-----
3418,Ti Ts'ang TSG-9DDC,Jihad,3083,Inner Sphere,Biped,Advanced,60,Catalyst Game Labs,2013,21120960,-----
811,Ti Ts'ang TSG-9H,Clan Invasion,3059,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,1880,15361280,3.5
3991,Ti Ts'ang TSG-9H (Jason),Jihad,3068,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,1641,15058880,-----
812,Ti Ts'ang TSG-9J,Clan Invasion,3060,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,1909,15299680,3.25
5425,Ti Ts'ang TSG-9L,Dark Age,3150,Inner Sphere,Biped,Advanced,60,correia3,1981,20967680,-----
5782,Ti Ts'ang without tag TSG-9H,Clan Invasion,3059,Inner Sphere,Biped,Tournament Legal,60,Markymark,1898,15298560,-----
4119,Tian-Zong TNZ-N1,Republic,3090,Inner Sphere,Biped,Advanced,75,Catalyst Game Labs,2167,17559500,-----
4120,Tian-Zong TNZ-N2,Republic,3096,Inner Sphere,Biped,Advanced,75,Catalyst Game Labs,1726,17892000,-----
3526,Tian-Zong TNZ-N3,Dark Age,3140,Inner Sphere,Biped,Advanced,75,Catalyst Game Labs,2167,17559500,-----
3953,Tian-Zong TNZ-N3 (Jasminda),Republic,3111,Inner Sphere,Biped,Advanced,75,Catalyst Game Labs,1826,17963750,-----
1341,Tiber TBR-1A,Late Succession Wars,3025,Inner Sphere,Biped,Introductory,90,Seraph,1735,7926230,4.166667
3474,Tiburon,Republic,3099,Clan,Biped,Advanced,35,Catalyst Game Labs,1841,6791535,-----
1315,Tick TCK-1,Late Succession Wars,3025,Inner Sphere,Quad,Introductory,20,Seraph,513,1526700,3.45
1332,Tiger Claw TC-79C,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,45,ralgith,1493,8700870,3
1700,Tiger Claw TC-80C,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,45,ralgith,1476,8744370,2.333333
2084,Tiger Hawk TGR-3S,Late Succession Wars,3025,Inner Sphere,Quad,Introductory,85,CJ_Keys,1946,7351900,3.25
1503,Tiger Prime,Civil War,3067,Clan,Biped,Tournament Legal,100,St. Dragon,2848,11568000,3.2
1745,Tiger TGR-1S,Late Succession Wars,3025,Inner Sphere,Biped,Introductory,100,Coyot3,1932,9548000,2.25
1177,Tigres TGR-1MB,Clan Invasion,3058,Inner Sphere,Biped,Tournament Legal,50,Mordel,1308,8143500,4.071429
1366,Timber Wolf G,Clan Invasion,3050,Clan,Biped,Tournament Legal,75,#NAME?,2397,19270563,3.666667
3037,Timber Wolf MKVII A,Republic,3086,Clan,Biped,Advanced,75,Vagabond,2712,89918281,-----
3038,Timber Wolf MKVII B,Republic,3086,Clan,Biped,Advanced,75,Vagabond,2339,89777734,-----
3039,Timber Wolf MKVII C,Republic,3086,Clan,Biped,Advanced,75,Vagabond,2445,90269922,-----
3040,Timber Wolf MKVII D,Republic,3086,Clan,Biped,Advanced,75,Vagabond,2527,89727969,-----
3041,Timber Wolf MKVII E,Republic,3086,Clan,Biped,Advanced,75,Vagabond,2376,91065625,-----
3042,Timber Wolf MKVII F,Republic,3086,Clan,Biped,Advanced,75,Vagabond,2241,89802344,-----
3043,Timber Wolf MKVII G,Republic,3086,Clan,Biped,Advanced,75,Vagabond,3152,92194375,-----
3044,Timber Wolf MKVII H,Republic,3086,Clan,Biped,Advanced,75,Vagabond,2633,90261719,-----
3045,Timber Wolf MKVII I,Republic,3086,Clan,Biped,Advanced,75,Vagabond,2364,90226172,-----
3046,Timber Wolf MKVII J,Republic,3086,Clan,Biped,Advanced,75,Vagabond,2781,90274844,-----
3047,Timber Wolf MKVII K,Republic,3086,Clan,Biped,Advanced,75,Vagabond,3138,90269375,-----
3036,Timber Wolf MKVII Prime,Republic,3086,Clan,Biped,Advanced,75,Vagabond,2426,89983906,-----
3035,Timber Wolf MKVII [BASE],Republic,3086,Clan,Biped,Advanced,75,Vagabond,1082,87417969,-----
1535,Timberwolf Alt F,Clan Invasion,3050,Clan,Biped,Tournament Legal,75,Stinger,3267,19531750,2
5845,Titan,Dark Age,3150,Inner Sphere,Biped,Experimental,100,Gray Noton,1951,9628000,-----
3244,Titan II TI-2P,Jihad,3071,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2143,10110500,-----
4473,Titan II TI-2PA,Jihad,3076,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2468,10629000,-----
2138,titan IIC,Clan Invasion,3050,Clan,Biped,Tournament Legal,95,mohawkdude,2890,9702128,1.625
4472,Titan TI-1A,Early Succession Wars,2787,Inner Sphere,Biped,Introductory,100,Catalyst Game Labs,1959,9760000,-----
5188,Titan TI-1Aj,Late Succession Wars,3023,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2328,10904000,-----
5189,Titan TI-1Ar,Late Succession Wars,3023,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2165,10464000,-----
4621,Tomahawk A,Civil War,3065,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,2762,29423125,-----
4622,Tomahawk B,Civil War,3065,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,3323,29890000,-----
4623,Tomahawk C,Civil War,3065,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,2985,28798125,-----
3547,Tomahawk II A,Republic,3088,Clan,Biped,Advanced,100,Catalyst Game Labs,2697,30310000,-----
